epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.109,1.6605,3.35848,1.67365,0.00457,0.76889,0.11424,0.04628,1.90444,3.98003,1.81804,0.00030006,0.00030006,0.00030006
2,229.376,1.649,2.68993,1.65994,0.0044,0.75052,0.10484,0.04063,2.03874,3.99145,1.96928,0.000586259,0.000586259,0.000586259
3,337.858,1.67398,2.50518,1.6304,0.44676,0.06333,0.1133,0.04559,2.31171,3.67375,2.06394,0.000841102,0.000841102,0.000841102
4,455.072,1.74931,2.46553,1.69637,0.29425,0.19099,0.1987,0.0787,2.10968,3.35243,2.02652,0.00106459,0.00106459,0.00106459
5,562.612,1.74667,2.49829,1.66672,0.30682,0.13168,0.15243,0.06656,2.14501,3.48432,2.2096,0.00125672,0.00125672,0.00125672
6,674.912,1.71302,2.28253,1.67795,0.20359,0.23369,0.13311,0.05151,2.1664,3.84649,2.23106,0.00125442,0.00125442,0.00125442
7,783.144,1.6231,2.18867,1.62483,0.28159,0.4045,0.28289,0.11359,2.15959,4.35886,2.29536,0.0011719,0.0011719,0.0011719
8,897.739,1.59428,2.05536,1.57563,0.29642,0.41917,0.26249,0.10237,2.17591,3.31357,2.13178,0.00108938,0.00108938,0.00108938
9,1000.72,1.59422,2.04761,1.58443,0.57802,0.28291,0.32209,0.14234,2.3877,2.99344,2.17204,0.00100687,0.00100687,0.00100687
10,1109.46,1.56809,1.98775,1.57625,0.6758,0.30047,0.35735,0.1689,2.07454,2.70206,2.02062,0.000924352,0.000924352,0.000924352
11,1208.48,1.6116,2.19348,1.63322,0.54523,0.3198,0.29355,0.16275,1.96132,2.81292,1.97828,0.000841835,0.000841835,0.000841835
12,1303.32,1.5792,2.05988,1.60924,0.51422,0.43841,0.43766,0.21097,1.87508,2.3936,1.87325,0.000759318,0.000759318,0.000759318
13,1386.9,1.52291,1.97216,1.61699,0.60966,0.34265,0.40986,0.19669,1.98971,2.57737,1.93278,0.000676802,0.000676802,0.000676802
14,1473.27,1.52574,1.92742,1.60385,0.61461,0.40173,0.46918,0.23471,1.81106,2.42639,1.80683,0.000594286,0.000594286,0.000594286
15,1579.52,1.44446,1.8162,1.5446,0.601,0.40787,0.51847,0.25891,1.97341,2.1683,1.90089,0.000511769,0.000511769,0.000511769
16,1718.75,1.43774,1.71374,1.52066,0.52151,0.48315,0.47253,0.23407,1.95509,2.12599,1.89468,0.000429253,0.000429253,0.000429253
17,1840.71,1.36726,1.66785,1.47822,0.54639,0.50638,0.50821,0.24346,1.94155,2.08008,1.87226,0.000346736,0.000346736,0.000346736
18,1991.42,1.33214,1.58965,1.45515,0.6604,0.5198,0.55291,0.29468,1.77902,1.94645,1.75998,0.00026422,0.00026422,0.00026422
19,2141.14,1.36666,1.55386,1.43219,0.62387,0.53478,0.56629,0.31396,1.72309,1.91755,1.73263,0.000181703,0.000181703,0.000181703
20,2239.53,1.32103,1.52424,1.42886,0.66887,0.55331,0.56449,0.31548,1.70864,1.90531,1.71523,9.91865e-05,9.91865e-05,9.91865e-05
