epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7023,0.45054,2.39442,1.15798,0.00552,1,0.37346,0.31374,0.56969,3.77898,0.98431,0.00031438,0.00031438,0.00031438
2,208.341,0.23688,1.13335,0.99108,0.78021,0.2037,0.27574,0.09405,1.75154,3.68462,2.29383,0.000611219,0.000611219,0.000611219
3,351.016,0.22593,0.8914,0.96942,0.83017,0.56515,0.59288,0.33234,0.71005,3.23949,1.11137,0.00087552,0.00087552,0.00087552
4,489.836,0.19843,0.82705,0.95106,0.80104,0.56902,0.51857,0.40893,0.43273,2.5067,0.94381,0.00110728,0.00110728,0.00110728
5,631.861,0.20461,0.73812,0.95102,0.88658,0.633,0.62936,0.58786,0.32794,1.86113,0.77742,0.00114606,0.00114606,0.00114606
6,770.984,0.20694,0.72886,0.94583,0.69147,0.64815,0.51868,0.51864,0.30574,2.91398,0.77115,0.00107532,0.00107532,0.00107532
7,918.412,0.19159,0.68829,0.95069,0.84482,0.61351,0.60292,0.5915,0.28522,2.12019,0.79168,0.00100459,0.00100459,0.00100459
8,1051.51,0.1801,0.69016,0.93802,0.85641,0.64681,0.6141,0.60415,0.29128,2.15969,0.79209,0.000933851,0.000933851,0.000933851
9,1174.75,0.16552,0.61366,0.93493,0.79501,0.62963,0.56923,0.56731,0.28279,1.84962,0.72847,0.000863116,0.000863116,0.000863116
10,1310.86,0.16027,0.55705,0.93044,0.75887,0.58446,0.52079,0.51822,0.24064,2.21267,0.71545,0.00079238,0.00079238,0.00079238
11,1455.79,0.17421,1.07888,1.00955,0.82766,0.57812,0.53764,0.53291,0.25371,2.93062,0.74828,0.000721645,0.000721645,0.000721645
12,1599.5,0.13741,0.73689,0.96813,0.85264,0.66649,0.54776,0.54776,0.29628,2.15419,0.77354,0.000650909,0.000650909,0.000650909
13,1741.77,0.11989,0.67199,0.92145,0.82884,0.62835,0.60246,0.60189,0.2579,1.92389,0.71448,0.000580174,0.000580174,0.000580174
14,1881.29,0.10391,0.55981,0.94367,0.83659,0.63082,0.59952,0.59947,0.17418,1.73939,0.628,0.000509438,0.000509438,0.000509438
15,2019.59,0.0965,0.50957,0.91768,0.88277,0.66667,0.62575,0.62557,0.17039,1.64168,0.62397,0.000438703,0.000438703,0.000438703
16,2156.4,0.09271,0.47305,0.9293,0.89053,0.61111,0.76186,0.76134,0.17019,1.43097,0.61482,0.000367967,0.000367967,0.000367967
17,2293.84,0.0776,0.43803,0.923,0.88113,0.66667,0.74227,0.74156,0.1998,1.52076,0.64905,0.000297232,0.000297232,0.000297232
18,2436.59,0.06793,0.40485,0.92323,0.87032,0.57407,0.86227,0.86227,0.15321,1.46667,0.60745,0.000226497,0.000226497,0.000226497
19,2580.41,0.06416,0.39599,0.89802,0.87352,0.57752,0.89828,0.89828,0.14142,1.42086,0.59677,0.000155761,0.000155761,0.000155761
20,2725.35,0.05466,0.37348,0.92439,0.90005,0.62963,0.8784,0.8784,0.17137,1.35291,0.61782,8.50255e-05,8.50255e-05,8.50255e-05
