epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.912,1.62818,3.18036,1.91826,0.00933,0.70369,0.1813,0.10645,1.57859,4.05363,1.99148,0.00032867,0.00032867,0.00032867
2,336.419,1.66372,2.90927,1.92589,0.45826,0.03101,0.12465,0.04865,1.92161,4.02638,2.41493,0.000638384,0.000638384,0.000638384
3,522.087,1.66916,2.83852,1.96098,0.26636,0.21765,0.15417,0.07355,2.07004,3.74797,2.53837,0.000914146,0.000914146,0.000914146
4,636.174,1.69363,2.85258,1.94389,0.11002,0.33634,0.11736,0.04336,2.21427,7.32397,2.80678,0.00115595,0.00115595,0.00115595
5,821.799,1.75407,2.76403,1.98729,0.49702,0.09974,0.13073,0.0646,2.00357,6.89557,2.62996,0.00114606,0.00114606,0.00114606
6,956.382,1.77522,2.77479,1.99946,0.83954,0.09302,0.14263,0.07049,1.83027,4.06237,2.36201,0.00107532,0.00107532,0.00107532
7,1047.91,1.77712,2.80077,1.99614,0.07397,0.12636,0.05512,0.02109,2.35165,3.68774,2.6922,0.00100459,0.00100459,0.00100459
8,1138.64,1.74183,2.68401,1.9669,0.20165,0.28299,0.18451,0.06592,2.25612,3.61853,2.81222,0.000933851,0.000933851,0.000933851
9,1229.54,1.69103,2.59125,1.92631,0.38771,0.25829,0.23849,0.1229,1.81506,3.31429,2.31344,0.000863116,0.000863116,0.000863116
10,1321.24,1.68653,2.5475,1.92139,0.38373,0.26079,0.26684,0.16163,1.96737,2.91225,2.60803,0.00079238,0.00079238,0.00079238
11,1411.84,1.80784,2.89602,2.25243,0.41974,0.26954,0.29398,0.17035,1.83721,2.90309,2.26107,0.000721645,0.000721645,0.000721645
12,1501.65,1.66918,2.67753,2.13419,0.4059,0.41304,0.36304,0.20337,1.7501,2.64739,2.19966,0.000650909,0.000650909,0.000650909
13,1590.5,1.67918,2.55016,2.15027,0.48626,0.31969,0.3613,0.21907,1.63873,2.4667,2.09829,0.000580174,0.000580174,0.000580174
14,1699.48,1.6511,2.48383,2.10004,0.50972,0.41555,0.42517,0.233,1.82008,2.30814,2.14619,0.000509438,0.000509438,0.000509438
15,1787.3,1.53511,2.40973,2.01919,0.52217,0.36481,0.42171,0.23896,1.65135,2.2806,2.01912,0.000438703,0.000438703,0.000438703
16,1875.71,1.55728,2.29686,2.01049,0.58662,0.46444,0.47038,0.26764,1.68329,2.13049,2.01597,0.000367967,0.000367967,0.000367967
17,1967.21,1.4913,2.26738,1.98754,0.6475,0.44939,0.48036,0.28575,1.62921,2.08278,1.96202,0.000297232,0.000297232,0.000297232
18,2057.28,1.48044,2.19263,1.95453,0.50617,0.41971,0.46741,0.27904,1.52814,2.03833,1.89563,0.000226497,0.000226497,0.000226497
19,2145.73,1.46093,2.16543,1.93212,0.58521,0.41604,0.46692,0.30778,1.48811,2.02225,1.86591,0.000155761,0.000155761,0.000155761
20,2234.01,1.44465,2.11595,1.89794,0.60056,0.42716,0.46073,0.31102,1.44942,1.99772,1.82778,8.50255e-05,8.50255e-05,8.50255e-05
